Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belarus,BLR,110.9,112.8,86.7,86.2,88.3,81.4,86.4,79.7,77.53,80.47,81.93,86.55,94.56,99.05,106.4,106.72,112.78,123.06,122.87,,,,,,,,,,,,111.53,113.1,90.15,89.74,89.13,84.11,86.99,81.84,79.78,82.92,84.52,88.19,94.69,99.12,106.19,106.28,114.21,118.98,123.13,118.81,124.94,125.89,,
Belize,BLZ,11.4,12.49,15.11,16.19,18.7,20.72,23.26,20.99,22.35,23.99,25.07,27.38,29.93,27.76,26.33,32.44,36.23,33.48,38.63,38.35,40.76,39.23,39.41,38.88,40.45,44.94,43.26,44.32,50.55,48.33,58.79,66.04,59.97,64.57,71.72,74.54,71.88,77.3,85.32,86.53,81.4,85.36,99.56,96.56,103.88,95.15,94.09,92.69,91.76,85.39,101.89,102.17,,
Bermuda,BMU,133.2,146.77,156.37,150.44,161.06,160.18,148.09,125.97,138,124.63,102.22,94.8,88.07,89.79,89.79,85.42,87.36,91.1,93.71,96.08,98.84,100.53,95.98,96.95,93.63,98.12,102.43,111.84,118.51,115.65,113.97,110.97,108.68,104.2,97.92,104.3,101.3,103.86,102.9,108.42,104.64,104.73,100.79,97.88,101.32,108.29,112.85,115.39,116.14,115.91,119.85,119.77,,
Bolivia,BOL,20.88,22.2,22.77,23.76,24.81,25.55,27.38,27.36,29.72,30.59,33.36,35.33,36.42,39.05,40.22,39.75,39.69,39.98,44.03,44.39,45.47,38.17,43.86,47.96,48.3,50.28,52.62,54.75,58.69,59.69,57.1,59.93,65.21,71.08,73.23,75.3,77.32,77.63,81.91,82.54,88.7,94.22,93.68,100.14,106.17,112.18,110.99,120.47,119.65,122.51,130.98,135.52,,
Brazil,BRA,16.2,16.73,17.58,19.62,19.1,20.56,21.24,21.94,23.39,23.88,25.37,25.35,26.74,28.04,30.92,32.29,31.55,33.05,37.41,38.17,40.15,40.1,43.12,46.22,45.08,49.02,51.36,53.48,51.39,53.58,56.72,57.31,61.9,66.23,65.94,69.06,69.92,75.13,76.81,81.38,86.5,94.19,97.43,99.41,103.16,110.92,116.66,116.85,123.92,128.97,127.1,136.65,,
Barbados,BRB,124.96,142.77,129.08,144.55,132.47,152.19,123.27,117.23,132.96,120.98,110.13,108.93,104.57,98.5,104.69,116.66,113.11,124.2,138.17,122.92,114.54,104.97,109.83,105.62,116.48,106.99,108.2,107.43,110.1,108.22,96.94,90.29,92.72,97.02,111.63,105.94,98.17,105.04,102.26,95.27,92.26,95.89,96.57,105.78,97.65,101.3,95.01,99.3,92.27,93.33,96.85,97.17,,
Brunei Darussalam,BRN,21.51,20.02,17.22,15.89,16.88,18.72,19.96,22.47,23.49,23.25,20.89,24.11,32.85,30.26,29.46,28.56,26.64,28.51,32.61,35.03,37.96,39.71,39.75,52.77,42.33,32.22,28.49,32.5,27.31,30.18,40.93,41.54,44.3,45.47,40.94,50.78,58.61,74.09,85.11,97.98,106.88,104.72,101.52,75.19,123.29,128.83,132.32,132.31,139.6,148.56,153.81,167.24,,
Bhutan,BTN,32.93,34.2,35.11,36.02,36.78,37.76,38.63,39.64,40.52,41.49,42.42,43.33,44.35,45.43,46.51,47.55,48.84,49.94,52.9,56.72,57.35,58.75,64.07,61.09,61.74,68.52,58.73,59.81,69.1,69.28,68.56,70.55,70.2,73.11,76.75,79.26,78.12,89.25,68.57,68.97,68.06,74.4,83.39,105.69,110.92,111.69,92.34,89.22,94.57,110.17,100.31,97.13,,
Botswana,BWA,57.97,63.76,70.37,69.41,71.57,74.78,72.24,73.57,79.94,86.73,86.07,81.72,84.41,81.8,91.4,87.27,72.02,91.1,70.97,88.38,92.19,85.9,95.05,92.31,90.71,81.34,86.84,89.95,96.7,103.57,100.51,100.1,92.99,109.85,102.72,95.46,90.67,81.06,89.03,96.6,90.7,92.88,100.83,101.37,97.79,99.16,107.86,112.69,123.83,142.72,130,129.96,,
Central African Republic,CAF,30.71,31.04,31.03,32.93,31.93,34.53,34.87,36.35,37.31,38.53,39.88,41.27,44.09,45.24,45.39,46.67,46.25,48.09,49.76,51.24,52.63,52.95,50.75,51.5,56.34,56.4,59.72,60.94,61.51,62.83,65.85,67.04,68.91,72.66,81.61,80.77,83.56,82.34,91.4,94.14,95.44,93.42,98.42,99.49,102.09,107.38,109.27,112.98,113.44,118.62,119.61,121.47,,
Canada,CAN,41.33,44.13,42.65,46,49.71,44.72,47.86,46.59,43.62,49.43,48.25,48.31,45.8,50.44,56.51,56.21,58.03,53.43,56.93,61.65,66.29,62.64,62.79,65.13,70.18,67.66,60.25,66.89,73.92,73.36,73.18,72.63,75.85,78.32,83.65,82.79,87.11,93.38,91.57,84.76,82.43,88.68,97.7,101.59,100.71,98.84,109.72,107.49,106.95,107.76,110.11,115.42,,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.99277738,104.2178261,93.274428,96.68366362,97.49422457,98.28947819,97.18800903,95.48895471,91.91168737,97.07402128,93.61424713,93.52123236,104.5953489,97.1052948,98.29935633,92.18277042,102.4557243,101.1528655,96.6378013,100.4755872,97.71256986,102.0122134,,
Switzerland,CHE,83.78,81.29,82.27,78.87,83.28,91.29,89.56,90.62,88.85,89.16,86.46,93.66,91.04,95.44,95.86,95.55,97.26,105.42,102.01,99.09,110.19,102.87,107.78,105.93,108.19,101.88,106.74,106.47,105.55,102.99,108.43,104.25,99.9,101.18,102.15,97.37,105.82,98.02,101.26,98.13,100.19,97.28,101.01,99.25,99.74,101.07,101.86,104.83,103.43,108.57,104.05,101.06,,
