Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burkina Faso,BFA,0.159325211,0.15858209,0.158213122,0.162112089,0.184331797,0.206422018,0.228310502,0.249772934,0.270758123,0.295454545,0.306748466,0.318742031,0.328812166,0.339185954,0.352941176,0.365384615,0.377358491,0.407407407,0.418943534,0.430107527,0.423280423,0.417391304,0.411663808,0.406091371,0.40266223,1.377850163,1.369863014,1.86440678,2.386363636,2.921316166,3.458213256,4.017467249,4.627706912,5.702064897,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,0.930557171,0.987797792,1.041666667,1.082374388,1.13662196,1.243921746,1.472420433,1.70261067,2.344687111,2.568745049,2.704478266,2.913152995,3.132187055,3.33552056,3.556576931,3.782718213,3.835616438,3.838561088,3.837298542,3.677681414,3.514938489,3.383210474,3.211758302,3.059440559,2.947276498,2.793719545,2.568942015,2.407620643,2.305414552,2.184336708,2.236032059,2.116153304,1.992150333,1.844359829,1.675242312,1.549463647,1.419446416,1.280227596,1.19760479,,,,,,,,,,,,,,,
Bulgaria,BGR,74.02262879,83.53310778,93.03110048,100.887929,108.1661066,113.1017849,122.2628792,127.4771525,129.4495413,133.7608906,140.503876,145.631068,151.2933138,163.479909,166.2766497,165.1511303,164.0779419,162.8047216,161.9231774,158.2688285,156.0607648,152.8095488,148.9361702,144.7795276,141.8695994,140.2352941,139.7890625,139.4308732,135.8272822,130.4321946,117.150976,92.12650751,94.35141215,95.79789895,92.43397573,91.67054444,113.1221719,114.3040805,98.43732275,94.03518892,95.59165425,95.11284983,93.4560821,114.251497,132.4491772,149.8995463,172.2907203,,,,,,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,45,45,45,45,45,100,110,70,70,60,55,50,60,75,,,,,,,,,,,,,,,
"Bahamas, The",BHS,45.71428571,50,54.28571429,58.57142857,62.85714286,67.14285714,71.42857143,71.42857143,75.71428571,80,84.28571429,88.57142857,92.85714286,97.14285714,101.4285714,105.7142857,110,114.2857143,118.5714286,122.8571429,127.1428571,131.4285714,135.7142857,122.5,126.25,130,133.75,137.5,141.25,145,148.75,152.5,208.3333333,213.3333333,163.3333333,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.2941176,294.1176471,341.1764706,341.1764706,322.2222222,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.9362262,202.1625164,201.913253,186.0446085,163.4028892,155.951417,136.7383223,126.4477515,118.8684168,116.0666551,110.9383903,105.5773029,99.7296323,96.68170336,94.96931408,91.38612067,89.7697607,86.76046176,,,,,,
Belize,BLZ,74.72222222,84.86486486,108.6486486,108.1081081,118.4210526,131.5789474,138.1578947,141.025641,146.9230769,149,154.75,156.5853659,162.195122,163.8095238,169.047619,170.6976744,176.0465116,181.3953488,178.4444444,179.3478261,183.6956522,189.1304348,194.1304348,218.6046512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,400,400,400,450,500,520,520,520,520,500,500,450,400,360,340,350,360,370,400,400,400,400,400,400,440,480,480,470,470,480,480,480,450,450,450,450,450,,,,,,,,,,,,,,,,,
Bolivia,BOL,10.80246914,11.50306748,11.93139448,12.36363636,12.72984441,13.12154696,13.44086022,13.7524558,14.06649616,14.45631678,14.6878825,15.49463647,16.36469901,17.12328767,17.7089098,18.42818428,19.17954182,19.89528796,20.58672156,21.21212121,21.80376611,21.94051682,21.97802198,23.17073171,23.78640777,24.15458937,24.51923077,24.40191388,24.76190476,25.11848341,24.88372093,24.31818182,22.76595745,22,21.62162162,19.93704092,19.25675676,19,20,,,,,,,,,,,,,,,
Brazil,BRA,34.16666667,35.76923077,38.14814815,40.71428571,42.75862069,44.83333333,45.3125,47.09090909,47.39142857,49.59459459,52.89473684,56.02564103,57.56097561,76.93166667,81.39534884,84.09090909,97.27272727,108.0178174,121.1566667,124.7807018,126.1702128,131.2765957,136.0934183,140.8687104,138.5312245,139.6559596,141.3232932,143.5440882,143.797281,142.5577907,145.5062448,146.6133476,147.6450848,136.2834358,138.9163124,138.8130754,138.7115106,138.3687061,138.0262529,134.7358264,129.1507869,122.6385322,117.7262447,116.0814317,116.861992,,,,,,,,,
Barbados,BRB,187.5,193.75,199.375,218.75,231.25,237.5,250,256.25,259.375,262.5,265.625,268.75,271.875,275,281.25,287.5,293.75,300,306.25,312.5,318.75,325,331.25,337.5,343.75,350,356.25,360.625,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,12.5,12.5,12.5,12.5,8.333333333,8.333333333,10,13.33333333,16.66666667,30,32.5,50,67.5,85,100,120,137.5,155,240,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,0.689655172,1.034482759,1.379310345,2.054794521,2.127659574,3.007518797,3.703703704,4.444444444,5.185185185,5.882352941,6.428571429,6.849315068,7.01986755,7.189542484,7.320261438,7.516339869,11.03773585,,,,,,,,,,,,,,,
Botswana,BWA,15.03759398,17.54385965,22.55639098,30,33.75,36.25,37.5,38.6,40,41.25,42.39401496,43.64089776,44.88778055,46.13466334,47.38154613,48.62842893,49.87531172,50.86848635,53.34987593,56.82382134,60.74074074,63.45679012,66.91358025,70.51597052,73.95577396,77.01711491,113.6919315,120.7729469,140.4761905,133.6666667,154.68,110,96.20253165,108.6956522,107.2463768,122.3,145.9565217,152,76.8,158.25,127.877551,151.6410256,136.3555556,121.375,140.0995025,155.7692308,120.8243728,,,,,,,
Central African Republic,CAF,0.100591716,0.117647059,0.134502924,0.145348837,0.156069364,0.172413793,0.205714286,0.318181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,135.4499806,136.5164407,137.5745522,138.5353476,139.8853667,139.6739486,139.5690099,139.4949849,139.4202763,139.3484154,141.0695885,143.2044276,143.1950082,144.8066822,146.4400951,147.8210001,149.2099943,148.0822103,146.9937169,145.9012247,148.982397,151.9750105,154.9598211,157.9436358,160.9394549,163.8193617,166.6887067,169.5497161,164.8206751,161.1035769,160.221237,159.1552697,158.08541,157.0151745,156.2377825,156.8016842,157.4372112,158.2894248,159.1355599,159.6602005,160.2261296,160.7925746,161.3674894,161.9427385,162.5248271,,,,,,,,,
Switzerland,CHE,1358.536585,1409.756098,1528.061224,1602.036082,1677.922078,1763.157895,1850.666667,1943.486486,2019.073569,2079.019074,2138.964578,2204.918033,2252.717391,2262.712766,2321.808511,2380.319149,2438.829787,2497.340426,2458.107417,2503.836317,2549.872123,2595.907928,2641.943734,2685.268542,2734.015345,2782.608696,2831.202046,2879.795396,2783.114355,2766.990291,2770.731707,2760.97561,2751.219512,2657.210402,2647.943262,2665.07177,2669.879518,2655.421687,2653.753027,2645.631068,2650.366748,2655.862069,2628.487518,2618.057255,2616.593029,2609.977882,,,,,,,,
Chile,CHL,91.80327869,91.44021739,91.08108108,90.72580645,90.37433155,90.02659574,89.68253968,89.34210526,87.13480267,86.15890688,85.2073963,83.25207216,82.3699422,82.61078998,81.96045736,84.004884,86.15981964,88.41604526,89.62460897,92.0707206,95.99162011,97.39229025,98.84892086,99.70963995,113.059034,134.1677503,122.4256293,119.2833876,127.5874375,139.9255121,163.5245902,181.0329861,181.5114236,203.7783019,222.9974811,270.9889001,271.500758,298.6111111,307.2571429,307.3714286,326.1212121,358.8666667,359,371.5172414,399.1851852,425.8688784,,,,,,,,
China,CHN,5.369544132,5.797401436,6.454408257,7.126920299,9.846177979,12.3571133,15.40202124,17.9761739,12.63553419,15.18367224,19.28204094,23.86333931,28.43921901,35.46376782,40.85092004,48.10307524,57.56348937,68.87180542,77.14365285,81.68889481,83.66823529,76.21648345,77.00975488,71.28431332,72.54345307,73.27917246,72.08810724,69.5967912,66.63214237,64.08254812,61.96659751,60.23451534,57.96588034,56.13235138,56.40698029,58.53113788,60.73954058,65.97314826,81.76662175,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,1.785714286,2.678571429,2.738095238,4.196428571,5.595238095,5.529411765,6.294117647,7.241176471,8.305882353,8.823529412,9.304093567,10.57471264,11.26760563,11.84573003,13.31521739,15.95744681,16.7539267,18.18181818,18.9258312,20.05076142,20.60301508,20.55063913,18.47023033,18.06722689,18.78151261,18.91666667,19.09090909,19.4214876,19.87654321,20,19.30769231,17.67746382,17.46666667,17.76666667,19.83333333,23.44827586,26.20689655,29.46428571,30,32.075,,,,,,,,,,,,,,
Cameroon,CMR,0.061386139,0.060784314,0.060194175,0.063461538,0.114285714,0.150943396,0.186915888,0.240740741,0.277777778,0.311926606,0.366972477,0.422018349,0.454545455,0.504504505,0.535714286,0.617719732,0.796240468,0.713801289,0.9678511,1.14213198,1.184433164,1.015228426,1.015228426,1.015228426,0.84317032,0.84317032,0.841750842,0.841750842,0.855218855,0.853781513,,,,,,,,,,,,,,,,,,,,,,,,
