Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,AUS,2.988549618,3.016803653,3.168263634,3.246048472,3.400051498,3.498432071,3.44658173,3.384163745,3.327256736,3.177707351,3.082340442,3.00568012,3.069372586,3.039372346,2.998361006,2.895081736,2.961275944,3.026870608,2.996937109,2.881623903,3.05534326,2.916064806,3.02882141,2.992130981,2.922451681,2.886208105,2.842936814,2.836854125,2.806898289,2.644063874,2.69791369,2.62070527,2.649117894,2.218736166,1.98154115,2.153210563,2.354497354,2.405685301,2.469795854,2.565651883,2.432345787,2.364365632,2.372040105,2.422284112,2.305306335,2.119303232,2.069677917,2.10292416,1.932120689,2.134196454,2.072882501,1.999320597
Austria,AUT,0.235768873,0.230775309,0.229380627,0.228307708,0.220702736,0.216890394,0.215901954,0.21300743,0.212398786,0.211586402,0.210492801,0.199575145,0.199235745,0.199369223,0.200911371,0.202023405,0.204567258,0.201737218,0.203458988,0.20465839,0.202663273,0.190295838,0.191101318,0.191408179,0.190097643,0.18997738,0.192213457,0.191480697,0.185729078,0.186334018,0.183146703,0.179492268,0.17930681,0.177900169,0.177157556,0.175701907,0.175383854,0.170913992,0.172500607,0.171605287,0.170639364,0.169924655,0.168772117,0.167802466,0.166583602,0.165899844,0.164513688,0.163795648,0.163067574,0.162030248,0.160747503,0.15968158
Burundi,BDI,0.241837133,0.245348627,0.247015479,0.245531553,0.238753611,0.243576369,0.241158889,0.292371032,0.271903175,0.26485399,0.252583982,0.259562506,0.256632926,0.252924198,0.24968649,0.246243351,0.238650326,0.231405049,0.225370189,0.21935654,0.213345715,0.207283311,0.201097734,0.194794668,0.188395295,0.182046639,0.175997266,0.170502202,0.165682637,0.161474341,0.157757309,0.15448759,0.151612942,0.150664446,0.148419139,0.147965928,0.145886313,0.144933947,0.141863402,0.140354009,0.137711074,0.133761822,0.128563006,0.120490841,0.109514764,0.099828788,0.102020054,0.103963914,0.100410977,0.102143471,0.108646568,0.114657434
Benin,BEN,0.375514535,0.377457158,0.378910609,0.379887249,0.384130273,0.391446707,0.394470103,0.414522042,0.412687528,0.420600544,0.421149607,0.417996485,0.417641818,0.419864301,0.41847245,0.416634861,0.411549498,0.406244671,0.403440107,0.400292397,0.394266099,0.385627753,0.377044204,0.368533491,0.36018077,0.351947236,0.343622442,0.334970969,0.322917914,0.312588941,0.303073913,0.295570738,0.293772337,0.299048158,0.315722086,0.33012115,0.343695472,0.341221433,0.342477285,0.34146765,0.343909378,0.345696618,0.347099686,0.329978067,0.296078137,0.287104297,0.289741211,0.265123339,0.26709295,0.263820109,0.268662277,0.261571335
Burkina Faso,BFA,0.430213746,0.426427528,0.421464114,0.417208629,0.41283298,0.408008954,0.403015068,0.398323352,0.393983782,0.384388313,0.391748156,0.396763369,0.402811635,0.407178561,0.406436876,0.406317487,0.405768341,0.404696943,0.402325131,0.39941831,0.396744682,0.393003208,0.389045953,0.385615157,0.381429611,0.377760601,0.41812734,0.411430303,0.397796717,0.384526563,0.371620619,0.359069322,0.342379723,0.334989251,0.335492536,0.354404427,0.355544437,0.345652262,0.31874723,0.376766407,0.382394119,0.403111196,0.353084605,0.365074201,0.339737874,0.343522106,0.407913217,0.375844265,0.383826424,0.353886678,0.36164593,0.362900899
Bangladesh,BGD,0.168467534,0.163803064,0.159617539,0.157195251,0.152543031,0.148309541,0.143361621,0.13890954,0.13585206,0.133052383,0.135146561,0.132991599,0.130745514,0.12834197,0.125297877,0.121993148,0.118585995,0.115210711,0.112100932,0.108959875,0.106022917,0.103071844,0.101424985,0.09839254,0.095875704,0.094091385,0.094632293,0.092388271,0.089221742,0.08648998,0.077567322,0.074980814,0.072536717,0.070963087,0.069073466,0.067894482,0.067005056,0.065524227,0.063604151,0.06206641,0.060582056,0.059365005,0.057815827,0.05534878,0.054405147,0.053317803,0.052633186,0.052005981,0.051386134,0.05005032,0.049401836,0.048855481
Bulgaria,BGR,0.518411081,0.512246314,0.51323987,0.507912563,0.504477022,0.498903399,0.496319837,0.492994452,0.487892561,0.48404508,0.481332058,0.477904625,0.472188087,0.453745794,0.449843634,0.447173804,0.445426111,0.441539371,0.431866488,0.430092192,0.428148967,0.426410707,0.424856197,0.425197256,0.426314702,0.426356809,0.427548081,0.433481146,0.442288619,0.44761767,0.473878488,0.479562075,0.473850522,0.475608867,0.502581304,0.517079504,0.428253802,0.435776867,0.431569862,0.432279065,0.426385416,0.424742863,0.425771938,0.409953617,0.406805022,0.408861737,0.412142123,0.422597097,0.430796748,0.442277481,0.454017362,0.478863721
Bahrain,BHR,0.005776774,0.005616463,0.005471238,0.00533766,0.005214254,0.005096762,0.004976288,0.004843342,0.004692589,0.004528821,0.004355628,0.004169099,0.003966066,0.003749728,0.007046149,0.006595523,0.00618217,0.005833812,0.005557068,0.005345807,0.005182018,0.005044811,0.004911314,0.004768433,0.004613749,0.004454403,0.004298903,0.004156915,0.004032713,0.003924231,0.003825935,0.003733489,0.003641986,0.003547798,0.003449138,0.00334541,0.003235963,0.003120592,0.002999153,0.002878141,0.002757233,0.002232158,0.001856461,0.001730076,0.001541228,0.001363767,0.001075484,0.001136388,0.001268513,0.001225102,0.001199781,0.001185688
"Bahamas, The",BHS,0.057811584,0.054974829,0.052357196,0.049982506,0.047825968,0.045869456,0.044128123,0.04261796,0.04133305,0.040260659,0.039360338,0.038569831,0.037818009,0.037060175,0.036287292,0.035511724,0.034737558,0.033974315,0.0332289,0.032497075,0.031778459,0.031085552,0.030432666,0.034088391,0.033454326,0.032868923,0.03231331,0.031764309,0.031208795,0.030637607,0.030060158,0.029502333,0.021746773,0.021417022,0.021142245,0.020908255,0.020685803,0.020437916,0.023498528,0.023091793,0.022641265,0.022168946,0.021702802,0.021260892,0.020845679,0.020452347,0.02008107,0.025367834,0.024942494,0.021815544,0.021482969,0.021172927
Belize,BLZ,0.369651603,0.369386818,0.358979334,0.348658607,0.347527071,0.337181341,0.327414032,0.327016602,0.319203791,0.320533368,0.314594016,0.317106749,0.312247727,0.31517098,0.310777313,0.313889234,0.309414846,0.304299827,0.312172652,0.311724923,0.303634371,0.295212425,0.28688678,0.2607388,0.259479861,0.281082569,0.279290602,0.283425083,0.277256441,0.28253465,0.288182955,0.303620677,0.297503942,0.299571902,0.294841675,0.288798238,0.277911668,0.267755539,0.258782429,0.254912957,0.266969741,0.260095418,0.253545104,0.24710621,0.240755836,0.234582092,0.228634886,0.232539619,0.233202429,0.227829875,0.231655416,0.226617043
