Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Benin,BEN,0.6836833,0.778385108,0.572436987,0.518009388,0.614959765,0.667971775,1.203841674,1.652287412,1.823376276,3.848155453,3.979294176,2.277109387,1.322152196,,,,,1.11087915,1.400322904,,0.643460593,,,,,,,,,,4.481651361,5.088789875,4.271250338,2.650108046,4.400227021,5.23900874,4.978593518,6.527863723,5.341372532,5.075679228,5.289790543,3.980121195,3.6647764,4.223390456,4.592419489,3.509659963,3.555234788,3.521152628,2.635625105,2.620918556,2.914504967,2.462910136,1.999782967
Burkina Faso,BFA,6.97326886,12.08797043,9.457474959,9.968306284,9.026532974,7.124152449,7.88954195,5.887443221,4.773537011,4.379067449,1.21203966,1.601725839,1.265160263,1.666295487,1.930187884,1.849594265,1.308904956,1.831410377,1.58090959,1.719780829,1.830227151,2.080928694,,,,,,,,,,,,1.517647078,1.23079983,0.944013855,0.684881177,0.64634798,0.614680926,0.855254915,0.697427517,0.691028665,0.679473918,0.644250535,,0.703951209,0.739599379,0.680065973,0.742460113,0.661120597,,0.441018032,0.487586287
Bangladesh,BGD,,,,,,,,,,,,,,,,3.820660197,11.89469361,5.273363641,5.928039142,6.920660228,5.347740854,7.322061126,6.860760891,5.153129492,3.95841585,3.69934149,3.582641274,3.948580818,5.374359471,4.250814575,3.858723526,4.800685611,,3.367999907,4.293594136,5.314408696,5.388262219,,6.065280843,6.445765454,5.64804381,7.46485548,8.469708132,7.346708769,7.010495122,7.830696407,7.349498071,6.476261051,8.107560828,7.302482131,,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.810605724,,,,2.640965209,2.845936896,2.255597221,1.405636213,1.348312703,1.346978976,1.31628876,1.568468589,1.401292255,1.35120709,1.195004432,1.100280892,1.010280271,0.967326448,1.058395179,1.11614146,1.018664939,1.055479668,1.103117253
Bahrain,BHR,,,,,,,,,1.191937528,0.640108811,0.614340039,0.70917328,0.500697441,0.528599695,1.116195217,0.89205507,0.89977151,0.82014685,1.151467209,1.149648253,1.043074353,1.130292171,1.202172512,1.313870393,1.018867705,0.872550553,1.225515035,0.966446975,0.934132143,0.823201599,0.766221523,1.114014435,0.825587569,0.965403698,1.100900076,,,,0.82283842,0.939069728,0.863222154,0.85328676,0.705994305,0.500529996,0.432620063,0.455029588,0.455576575,0.499247453,0.505736227,0.557051722,0.877289707,0.483491895,1.042563313
"Bahamas, The",BHS,,,,,,,,,,,,,0.197045008,0.108095526,0.139964498,,,,0.152158463,0.080296226,0.151167464,0.219190045,0.281322671,0.435455658,0.44925634,0.587927327,0.758446715,,,,,,,1.869271454,,1.859932234,2.057017135,2.386804695,2.698717008,2.09954062,2.035328259,1.970442736,2.366251085,2.335560125,2.390555677,2.288655057,1.761440778,1.849896096,1.795495097,1.280381042,1.333531233,1.457525845,1.44847004
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600439057,1.046473866,1.237763825,1.403785806,1.21188238,1.267058561,1.185278807,1.562658938,1.531726947,1.618138536,1.529176372,1.549641725
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.431717029,2.67740719,2.302311433,2.312918292,2.256294586,2.149788687,1.832522152,1.68090976,1.521991407,1.380181737,1.311255179,1.174355766,1.475509824,1.536018543,1.465278418,1.281116295,1.056607324
Belize,BLZ,,,,,,,,,,,,,,0.477526341,0.397275231,0.474226836,0.442565534,0.48430982,0.310059203,,0.97280292,0.218320389,0.25278719,0.242726964,0.184432136,0.222837228,0.230671002,0.259576353,0.352361103,,1.024084957,0.539914795,0.348157307,0.253786231,0.274552455,0.270772317,0.396097672,4.293703692,0.596947783,0.800364456,0.495255687,0.428251867,0.438248016,0.799334646,0.668288119,0.755958761,0.59715505,0.765106222,0.867688534,0.904872897,0.658863114,0.894998313,1.289658138
Bermuda,BMU,,,,,,,,,,0.97895391,1.11976951,1.048469049,0.768839135,0.664437849,0.735660414,0.754760035,0.875050403,0.80548297,0.661164948,0.801608474,0.777060526,0.839291492,0.777266307,0.802215342,,,0.815729352,,0.802593292,0.731803713,0.744784026,0.7596861,,1.431708564,,1.347466566,,,,,,,,,,,,,0.625822052,0.61133278,0.613332454,0.62532238,0.636907389
