"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92782919924082","0.664215005265385","0.376194027646943","0.490407737597771","","","","3.34108272337435","3.41989422168766","3.05698411249566","2.67189261162791","","","","","","","0.37877041439368","","","","0.647521458104959","0.826171059668165","0.826909485637805","0.253546899988292","0.303565158308217","0.397703079676524","",
"Andorra","AND","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.656790001681027","0.598209657580219","0.533134155292796","0.523752383229809","0.560631005988058","0.48661420712131","0.460160747252553","0.410605322085927","0.414015703835772","0.400673169431348","","","","","","","","","","","",
"Afghanistan","AFG","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","0.966616617277391","1.3944379643121","1.49823370063427","1.08015556482012","0.672908592090179","0.82760950235877","1.03516311473202","1.46489906383787","1.46033227015532","0.982216088504766","1.76366670366578","3.47372542710743","3.11281987019385","1.54504441610776","1.75299373071397","1.31193621681939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00237097073842654","","","","","","","",
"Angola","AGO","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","1.6950051984186","","","","","","","0.909028467819121","0.94016508592812","0.994832919003295","1.1399664436833","1.35911695739224","1.5394894047566","","","","","","","","","","","0.806703613507817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.929813340466705","1.18561658447531","1.46323227951264","3.76524145518879","0.937486657190377","0.863882881868625","0.964128214918153","0.999191726268577","1.07049398536546","1.10858497982632","1.18933302540196","0.932476368685505","0.839335825902884","0.994704093849191","0.999252301721728","0.95021301136294","0.906949318908891","0.953042303349131","0.644753212168007","",
"Arab World","ARB","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","3.37921099917796","2.38578352734249","2.65217391542803","","1.9550959289859","1.93735305284774","2.33545943168039","1.91383208390493","1.82311454743323","1.95566897978273","","","","","","2.24326926856814","","1.93174827657392","1.81995133978963","1.51861218819751","","","","","","1.57983477640269","1.52658799010467","1.46227092743378","1.70366906398078","1.84217519956734","1.75287620527011","1.37683955383225","","1.20893224708373","0.998127823137483","","","","","","","",
"United Arab Emirates","ARE","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","0.965693886793854","0.733511668570065","1.3745385922864","0.925815107464916","0.772242261564928","0.904131775249156","","","","","","0.766308232058752","","0.262263637908869","0.285241872610607","0.218208652841926","","","","","","0.590978111400436","0.750801691523365","0.777365604247566","","","","0.57316429236322","","0.543915096849237","0.447647250185747","","","","","","","",
"Argentina","ARG","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","6.1469470433774","7.56826997789063","10.813019180264","12.6011795044338","11.4190834945714","9.62590051107888","10.9644307394093","9.74049005896489","8.81445509412973","8.68460505228653","7.22628587431912","7.20100773540326","7.61088396127164","6.53783031608484","5.25570863359714","4.16724380006079","4.48965314798215","4.68857637200204","3.71064837049923","3.40746264688394","4.76315081574217","5.30462301201339","5.40075120998688","3.47424954707348","4.75142055886143","4.21850361743373","3.58856211043342","3.95162017622818","3.95790645588433","2.8114074624278","1.9062135150604","1.9221374735234","1.61563704283383","2.03369548395339","1.91321902627724","1.54539819834332","1.49708490577577","1.50404456692609","1.48441965569226","1.50856167368056","2.40306191213103","2.48484254461902","1.78913526091806","1.50271783587216","1.47588503338923","1.23823502325182","1.05811827489685","1.16345565367815","1.08403480780319","1.02543998127231","1.02274717301483","0.874278295847359","0.890840475187894","",
"Armenia","ARM","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.447905342993141","","1.25416668960982","0.945613821361333","1.06465426024769","1.12713917934688","1.03194855998914","1.00425361258361","0.842936140728205","0.844766146669971","0.823176239606217","1.67988670774601","1.0851927613125","0.910834669306679","1.1206955860758","1.20263872652146","1.1221787368444","1.55960834183359","",
"American Samoa","ASM","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","2.19520099948191","1.40312406778081","1.24506123714647","","0.604581268679226","1.75392028465548","","","2.58515502011418","","","","","","","","","","","","","","","","","","2.7406248334286","2.4194380909293","","","","","1.7104995526248","1.79244615342272","2.38874708082773","","1.15151414123538","1.16803572248874","1.20972279492966","1.85514074658522","1.67300936935377","1.3456394383112","",
